統計名：,検察統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,/時間軸(年次),2021年,2021年,2021年,2020年,2020年,2020年,2019年,2019年,2019年,2018年,2018年,2018年,2017年,2017年,2017年,2016年,2016年,2016年,2015年,2015年,2015年,2014年,2014年,2014年,2013年,2013年,2013年,2012年,2012年,2012年,2011年,2011年,2011年,2010年,2010年,2010年,2009年,2009年,2009年,2008年,2008年,2008年,2007年,2007年,2007年,2006年,2006年,2006年,2005年,2005年,2005年,2002年,2002年,2002年,2001年,2001年,2001年,2000年,2000年,2000年,1999年,1999年,1999年,1998年,1998年,1998年,1997年,1997年,1997年,1996年,1996年,1996年,1995年,1995年,1995年,1994年,1994年,1994年,1993年,1993年,1993年
,,,,/既済事由 コード,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290
表章項目 コード,表章項目,罪名_年次 コード,罪名_年次,/既済事由,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】
120,人員,1320,特別法犯(道路交通法等違反を除く。),,"40,373","42,468",48.7,"41,812","43,952",48.8,"42,512","43,701",49.3,"45,503","43,881",50.9,"45,191","42,586",51.5,"46,450","42,111",52.4,"48,768","42,726",53.3,"48,022","42,305",53.2,"48,722","41,039",54.3,"51,809","41,941",55.3,"54,339","41,350",56.8,"58,237","45,246",56.3,"61,597","48,629",55.9,"61,985","46,449",57.2,"70,366","46,479",60.2,"71,821","42,523",62.8,"74,442","38,166",66.1,"65,056","23,445",73.5,"63,887","23,506",73.1,"61,641","21,946",73.7,"61,600","22,707",73.1,"58,054","19,841",74.5,"60,765","19,927",75.3,"61,334","21,281",74.2,"60,856","25,387",70.6,"52,960","21,912",70.7,"54,017","24,731",68.6
120,人員,1480,特別法犯(道路交通法等違反を除く。)_銃砲刀剣類所持等取締法,,902,"4,369",17.1,"1,051","4,671",18.4,"1,077","4,547",19.2,"1,148","4,584",20.0,"1,249","4,248",22.7,"1,346","4,052",24.9,"1,458","3,965",26.9,"1,490","3,582",29.4,"1,677","3,401",33.0,"1,847","3,616",33.8,"1,938","3,398",36.3,"2,136","3,957",35.1,"2,497","4,269",36.9,"2,469","3,629",40.5,"2,835","3,565",44.3,"2,937","2,689",52.2,"2,601","2,494",51.1,"2,759","1,992",58.1,"2,582","1,865",58.1,"2,546","1,732",59.5,"2,202","1,497",59.5,"2,402","1,371",63.7,"2,222","1,355",62.1,"2,289","1,509",60.3,"2,329","1,400",62.5,"2,100","1,190",63.8,"2,125","1,108",65.7
120,人員,1720,特別法犯(道路交通法等違反を除く。)_麻薬及び向精神薬取締法,,714,445,61.6,689,422,62.0,576,386,59.9,575,451,56.0,580,401,59.1,495,485,50.5,513,482,51.6,355,515,40.8,496,544,47.7,346,373,48.1,462,320,59.1,604,312,65.9,642,396,61.8,839,480,63.6,888,395,69.2,824,326,71.7,790,299,72.5,455,178,71.9,371,142,72.3,359,103,77.7,316,112,73.8,283,121,70.0,237,110,68.3,242,117,67.4,283,121,70.0,299,122,71.0,300,164,64.7
120,人員,1734,特別法犯(道路交通法等違反を除く。)_覚醒剤取締法,,"9,508","3,101",75.4,"10,365","3,058",77.2,"9,942","3,200",75.7,"12,068","3,629",76.9,"12,325","3,538",77.7,"13,479","3,394",79.9,"14,362","3,312",81.3,"14,035","3,432",80.4,"14,179","3,418",80.6,"15,154","3,599",80.8,"16,193","3,257",83.3,"16,131","3,185",83.5,"15,825","3,157",83.4,"14,620","3,270",81.7,"16,473","3,328",83.2,"16,516","3,159",83.9,"19,699","2,778",87.6,"21,296","2,676",88.8,"22,760","2,484",90.2,"24,048","2,606",90.2,"21,286","2,449",89.7,"18,699","2,344",88.9,"22,500","2,629",89.5,"22,893","2,921",88.7,"19,914","2,852",87.5,"16,357","2,705",85.8,"17,324","3,002",85.2
120,人員,160,刑法犯_逃走,,0,1,0.0,1,1,50.0,4,0,100.0,4,1,80.0,1,3,25.0,2,3,40.0,0,0,0.0,3,1,75.0,5,0,100.0,0,1,0.0,1,1,50.0,2,0,100.0,1,1,50.0,1,1,50.0,4,0,100.0,3,1,75.0,11,0,100.0,6,3,66.7,5,3,62.5,3,4,42.9,3,0,100.0,3,1,75.0,5,3,62.5,9,3,75.0,11,0,100.0,3,0,100.0,4,1,80.0
120,人員,180,刑法犯_騒乱,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,20,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
120,人員,200,刑法犯_失火,,45,103,30.4,40,86,31.7,47,73,39.2,47,69,40.5,31,67,31.6,29,64,31.2,43,67,39.1,45,56,44.6,25,37,40.3,32,49,39.5,32,59,35.2,27,52,34.2,41,52,44.1,48,46,51.1,35,51,40.7,64,64,50.0,61,44,58.1,45,45,50.0,45,32,58.4,41,35,53.9,47,27,63.5,39,29,57.4,42,26,61.8,45,43,51.1,62,35,63.9,63,51,55.3,65,56,53.7
120,人員,310,刑法犯_文書偽造,,668,"1,795",27.1,748,"1,636",31.4,895,"1,372",39.5,970,"1,617",37.5,991,"1,589",38.4,"1,128","1,454",43.7,"1,219","1,965",38.3,"1,365","1,647",45.3,"1,473","1,894",43.7,"1,484","1,761",45.7,"1,724","1,535",52.9,"1,952","1,478",56.9,"2,358","1,452",61.9,"2,999","1,583",65.5,"2,812","1,500",65.2,"2,901","1,755",62.3,"2,795","1,647",62.9,"2,822","1,954",59.1,"1,984","1,788",52.6,"2,015","1,615",55.5,"1,869","1,192",61.1,"1,563","1,600",49.4,"1,477","1,367",51.9,"1,235","1,172",51.3,"1,123","1,353",45.4,"1,077","1,122",49.0,"1,143","1,309",46.6
120,人員,510,刑法犯_職権濫用,,0,"1,405",0.0,2,912,0.2,4,"1,044",0.4,0,790,0.0,1,"1,714",0.1,2,"1,365",0.1,0,862,0.0,1,887,0.1,4,956,0.4,1,955,0.1,4,897,0.4,6,"1,204",0.5,16,"1,308",1.2,1,"1,373",0.1,4,987,0.4,2,"1,010",0.2,4,"1,395",0.3,24,906,2.6,6,835,0.7,8,912,0.9,6,"1,105",0.5,1,"1,107",0.1,3,"1,242",0.2,1,"1,011",0.1,0,"1,140",0.0,0,737,0.0,8,505,1.6
120,人員,520,刑法犯_収賄,,46,11,80.7,49,5,90.7,30,24,55.6,47,7,87.0,35,12,74.5,29,5,85.3,45,8,84.9,41,6,87.2,33,31,51.6,39,29,57.4,47,13,78.3,53,14,79.1,52,15,77.6,85,18,82.5,69,20,77.5,118,40,74.7,98,45,68.5,154,32,82.8,144,42,77.4,111,73,60.3,109,24,82.0,147,39,79.0,151,22,87.3,117,17,87.3,99,49,66.9,123,49,71.5,99,35,73.9
120,人員,530,刑法犯_贈賄,,65,10,86.7,40,6,87.0,26,18,59.1,50,5,90.9,36,15,70.6,34,3,91.9,40,3,93.0,32,8,80.0,43,19,69.4,38,20,65.5,53,9,85.5,60,7,89.6,65,29,69.1,97,32,75.2,92,24,79.3,111,19,85.4,142,47,75.1,189,58,76.5,176,52,77.2,119,63,65.4,144,38,79.1,206,74,73.6,179,50,78.2,176,29,85.9,143,70,67.1,171,67,71.8,168,63,72.7
120,人員,590,刑法犯_傷害_傷害致死,,86,47,64.7,64,62,50.8,81,55,59.6,87,62,58.4,99,57,63.5,108,78,58.1,114,60,65.5,145,93,60.9,152,81,65.2,157,61,72.0,179,58,75.5,154,84,64.7,150,110,57.7,183,97,65.4,182,83,68.7,189,93,67.0,220,107,67.3,261,129,66.9,283,123,69.7,283,114,71.3,291,114,71.9,247,113,68.6,244,148,62.2,234,100,70.1,263,94,73.7,247,94,72.4,216,116,65.1
120,人員,600,刑法犯_傷害_暴行,,"3,856","9,940",28.0,"4,152","10,530",28.3,"4,419","10,758",29.1,"4,479","11,002",28.9,"4,337","10,663",28.9,"4,330","10,304",29.6,"4,304","9,755",30.6,"4,520","9,623",32.0,"4,365","8,641",33.6,"4,473","7,568",37.1,"3,925","6,529",37.5,"3,974","6,624",37.5,"3,985","6,452",38.2,"4,232","6,408",39.8,"4,579","6,365",41.8,"4,999","6,175",44.7,"5,004","6,250",44.5,"4,134","4,160",49.8,"3,921","3,459",53.1,"3,518","2,844",55.3,"2,292","1,637",58.3,"2,361","1,685",58.4,"2,242","1,780",55.7,"2,239","1,792",55.5,"2,331","1,672",58.2,"2,232","1,768",55.8,"2,372","1,812",56.7
120,人員,620,刑法犯_傷害_その他,,"5,310","11,398",31.8,"6,156","12,059",33.8,"6,744","12,275",35.5,"6,985","13,154",34.7,"7,124","13,296",34.9,"8,075","13,751",37.0,"8,375","12,928",39.3,"8,803","13,020",40.3,"9,047","12,267",42.4,"9,698","11,399",46.0,"9,672","10,310",48.4,"10,431","9,872",51.4,"10,861","10,329",51.3,"11,946","9,932",54.6,"13,698","10,260",57.2,"15,301","9,706",61.2,"15,594","10,057",60.8,"16,912","8,293",67.1,"16,809","7,286",69.8,"16,003","6,319",71.7,"11,698","4,115",74.0,"11,744","4,304",73.2,"11,843","4,320",73.3,"11,406","4,347",72.4,"11,306","4,250",72.7,"11,588","4,859",70.5,"11,609","4,694",71.2
120,人員,670,刑法犯_過失傷害_過失致死傷,,222,"3,494",6.0,211,"3,133",6.3,200,"3,237",5.8,203,"3,046",6.2,147,"2,658",5.2,177,"2,457",6.7,194,"2,682",6.7,211,"2,717",7.2,234,"2,736",7.9,185,"2,893",6.0,161,"2,615",5.8,157,"2,668",5.6,139,"2,915",4.6,120,"2,376",4.8,139,"2,202",5.9,136,"1,942",6.5,120,984,10.9,84,184,31.3,76,151,33.5,63,117,35.0,35,56,38.5,32,50,39.0,29,72,28.7,31,70,30.7,19,56,25.3,23,87,20.9,19,68,21.8
120,人員,690,刑法犯_過失傷害_業務上過失致死傷,,245,767,24.2,259,754,25.6,280,701,28.5,263,785,25.1,261,785,25.0,274,812,25.2,349,840,29.4,297,849,25.9,277,"1,063",20.7,300,805,27.1,315,807,28.1,335,890,27.3,355,909,28.1,388,920,29.7,389,968,28.7,448,975,31.5,582,"1,068",35.3,551,829,39.9,553,765,42.0,476,553,46.3,406,525,43.6,382,565,40.3,414,568,42.2,387,538,41.8,416,558,42.7,415,595,41.1,421,644,39.5
120,人員,700,刑法犯_過失傷害_重過失致死傷,,106,"1,682",5.9,116,"1,571",6.9,118,"1,705",6.5,124,"1,826",6.4,105,"1,919",5.2,100,"1,773",5.3,88,"1,735",4.8,105,"1,612",6.1,95,"1,438",6.2,90,"1,544",5.5,97,"1,921",4.8,93,"1,916",4.6,106,"1,732",5.8,84,"1,467",5.4,65,"1,086",5.6,56,842,6.2,44,584,7.0,38,804,4.5,37,668,5.2,41,660,5.8,23,259,8.2,19,162,10.5,15,134,10.1,25,119,17.4,24,169,12.4,18,150,10.7,23,111,17.2
120,人員,710,刑法犯_過失傷害_自動車による過失致死傷等_業務上過失致死傷,,16,173,8.5,25,171,12.8,41,175,19.0,36,210,14.6,40,213,15.8,34,216,13.6,29,276,9.5,39,290,11.9,56,345,14.0,68,751,8.3,77,"1,176",6.1,126,"1,119",10.1,372,"12,137",3.0,"1,665","5,980",21.8,"53,550","390,853",12.0,"85,801","742,966",10.4,"91,980","766,694",10.7,"101,891","735,785",12.2,"99,152","744,481",11.8,"93,106","716,368",11.5,"86,432","635,995",12.0,"83,178","558,924",13.0,"88,344","518,161",14.6,"91,951","544,656",14.4,"94,948","536,027",15.0,"96,391","516,102",15.7,"99,106","506,108",16.4
120,人員,720,刑法犯_過失傷害_自動車による過失致死傷等_重過失致死傷,,2,73,2.7,0,79,0.0,5,145,3.3,5,115,4.2,4,86,4.4,4,144,2.7,5,111,4.3,5,207,2.4,3,357,0.8,9,451,2.0,7,453,1.5,7,454,1.5,10,497,2.0,26,535,4.6,24,666,3.5,29,671,4.1,51,758,6.3,49,"1,006",4.6,63,"1,038",5.7,74,"1,052",6.6,76,822,8.5,52,735,6.6,45,752,5.6,56,825,6.4,74,804,8.4,163,762,17.1,118,742,13.7
120,人員,730,刑法犯_過失傷害_自動車による過失致死傷等_自動車運転過失致死傷,,0,23,0.0,3,28,9.7,33,96,25.6,7,297,2.3,26,399,6.1,135,566,19.3,"1,606","2,599",38.2,"37,721","245,636",13.3,"56,588","540,308",9.5,"58,694","565,605",9.4,"60,366","590,979",9.3,"64,254","613,936",9.5,"67,249","613,989",9.9,"68,320","635,019",9.7,"23,546","309,472",7.1,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
120,人員,740,刑法犯_過失傷害_自動車による過失致死傷等_過失運転致死傷アルコール等影響発覚免脱,,57,9,86.4,39,21,65.0,50,13,79.4,83,13,86.5,95,9,91.3,82,15,84.5,96,12,88.9,45,4,91.8,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
120,人員,750,刑法犯_過失傷害_自動車による過失致死傷等_過失運転致死傷,,"37,790","242,840",13.5,"38,861","253,394",13.3,"44,065","315,659",12.2,"46,739","360,556",11.5,"48,673","396,806",10.9,"50,210","419,961",10.7,"51,389","453,956",10.2,"17,318","241,982",6.7,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
120,人員,760,刑法犯_過失傷害_自動車による過失致死傷等_無免許過失運転致死傷アルコール等影響発覚免脱,,2,0,100.0,3,0,100.0,8,0,100.0,3,0,100.0,6,0,100.0,8,1,88.9,6,0,100.0,6,0,100.0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
120,人員,770,刑法犯_過失傷害_自動車による過失致死傷等_無免許過失運転致死傷,,627,165,79.2,565,146,79.5,603,167,78.3,752,173,81.3,751,178,80.8,848,156,84.5,877,179,83.0,295,30,90.8,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
120,人員,1080,刑法犯_背任,,33,112,22.8,30,114,20.8,19,129,12.8,29,116,20.0,42,186,18.4,21,155,11.9,19,134,12.4,15,103,12.7,13,138,8.6,35,118,22.9,16,91,15.0,13,121,9.7,23,129,15.1,17,87,16.3,25,110,18.5,25,193,11.5,28,123,18.5,51,246,17.2,99,162,37.9,45,156,22.4,26,103,20.2,77,130,37.2,43,174,19.8,82,163,33.5,30,148,16.9,72,142,33.6,35,134,20.7
120,人員,1310,刑法犯_その他の刑法犯,,971,"3,983",19.6,"1,185","4,833",19.7,"1,208","3,841",23.9,"1,189","3,221",27.0,"1,167","2,664",30.5,"1,367","2,918",31.9,"1,428","4,009",26.3,"1,381","8,752",13.6,"1,485","6,658",18.2,"1,338","5,484",19.6,"1,658","5,021",24.8,"1,981","5,199",27.6,"2,038","4,490",31.2,"2,054","2,707",43.1,"2,298","2,187",51.2,"2,454","2,257",52.1,"2,654","2,456",51.9,"2,067","2,276",47.6,"1,825","2,010",47.6,"1,735","1,720",50.2,"1,518","1,490",50.5,"1,280","1,656",43.6,"1,589","1,576",50.2,"2,014","2,019",49.9,"1,702","1,777",48.9,"1,442","1,749",45.2,"1,427","1,643",46.5
120,人員,1330,特別法犯(道路交通法等違反を除く。)_公職選挙法,,80,805,9.0,19,117,14.0,185,538,25.6,12,131,8.4,60,111,35.1,99,173,36.4,460,608,43.1,79,102,43.6,209,273,43.4,33,146,18.4,397,872,31.3,257,246,51.1,314,577,35.2,51,405,11.2,"1,245","1,091",53.3,419,454,48.0,673,812,45.3,458,317,59.1,936,"1,362",40.7,921,"1,103",45.5,"2,876","2,177",56.9,"1,040",615,62.8,588,291,66.9,"1,648","1,529",51.9,"4,777","5,043",48.6,478,630,43.1,"3,362","4,107",45.0
120,人員,2430,特別法犯(道路交通法等違反を除く。)_その他の特別法犯,,"29,169","33,748",46.4,"29,688","35,684",45.4,"30,732","35,030",46.7,"31,700","35,086",47.5,"30,977","34,288",47.5,"31,031","34,007",47.7,"31,975","34,359",48.2,"32,063","34,674",48.0,"32,161","33,403",49.1,"34,429","34,207",50.2,"35,349","33,503",51.3,"39,109","37,546",51.0,"42,319","40,230",51.3,"44,006","38,665",53.2,"48,925","38,100",56.2,"51,125","35,895",58.8,"50,679","31,783",61.5,"40,088","18,282",68.7,"37,238","17,653",67.8,"33,767","16,402",67.3,"34,920","16,472",67.9,"35,630","15,390",69.8,"35,218","15,542",69.4,"34,262","15,205",69.3,"33,553","15,971",67.8,"33,726","17,265",66.1,"30,906","16,350",65.4
120,人員,2460,道路交通法等違反_自動車の保管場所の確保等に関する法律,,751,95,88.8,594,61,90.7,638,54,92.2,846,68,92.6,"1,081",94,92.0,"1,956",142,93.2,"2,754",131,95.5,"2,684",90,96.8,"3,335",114,96.7,"3,433",129,96.4,"3,627",181,95.2,"4,232",205,95.4,"4,979",279,94.7,"5,360",169,96.9,"6,747",174,97.5,"9,236",311,96.7,"12,642",387,97.0,"20,395",465,97.8,"23,751","1,325",94.7,"29,169",578,98.1,"37,752",734,98.1,"38,826",904,97.7,"41,195","1,296",96.9,"43,867","1,042",97.7,"45,225","1,474",96.8,"54,895","1,777",96.9,"58,700",812,98.6
120,人員,2440,道路交通法等違反,,"103,162","99,135",51.0,"107,358","104,613",50.6,"127,471","106,663",54.4,"147,440","111,697",56.9,"165,057","115,223",58.9,"181,838","120,434",60.2,"191,415","119,556",61.6,"196,683","117,880",62.5,"221,272","123,372",64.2,"249,562","130,120",65.7,"273,750","127,527",68.2,"304,307","129,010",70.2,"333,825","135,787",71.1,"357,391","155,109",69.7,"434,004","163,196",72.7,"530,181","155,026",77.4,"586,554","131,699",81.7,"726,840","105,490",87.3,"766,263","93,024",89.2,"793,464","81,372",90.7,"915,666","70,430",92.9,"915,119","64,257",93.4,"937,396","59,726",94.0,"903,463","58,744",93.9,"862,217","57,784",93.7,"956,567","63,967",93.7,"1,022,275","54,026",95.0
120,人員,2450,道路交通法等違反_道路交通法,,"102,411","99,040",50.8,"106,764","104,552",50.5,"126,833","106,609",54.3,"146,594","111,629",56.8,"163,976","115,129",58.8,"179,882","120,292",59.9,"188,661","119,425",61.2,"193,999","117,790",62.2,"217,937","123,258",63.9,"246,129","129,991",65.4,"270,123","127,346",68.0,"300,075","128,805",70.0,"328,846","135,508",70.8,"352,031","154,940",69.4,"427,257","163,022",72.4,"520,945","154,715",77.1,"573,912","131,312",81.4,"706,445","105,025",87.1,"742,512","91,699",89.0,"764,295","80,794",90.4,"877,914","69,696",92.6,"876,293","63,353",93.3,"896,201","58,430",93.9,"859,596","57,702",93.7,"816,992","56,310",93.6,"901,672","62,190",93.5,"963,575","53,214",94.8
