統計名：,検察統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,/時間軸(年次),2021年,2021年,2021年,2020年,2020年,2020年,2019年,2019年,2019年,2018年,2018年,2018年,2017年,2017年,2017年,2016年,2016年,2016年,2015年,2015年,2015年,2014年,2014年,2014年,2013年,2013年,2013年,2012年,2012年,2012年,2011年,2011年,2011年,2010年,2010年,2010年,2009年,2009年,2009年,2008年,2008年,2008年,2007年,2007年,2007年,2006年,2006年,2006年,2005年,2005年,2005年,2002年,2002年,2002年,2001年,2001年,2001年,2000年,2000年,2000年,1999年,1999年,1999年,1998年,1998年,1998年,1997年,1997年,1997年,1996年,1996年,1996年,1995年,1995年,1995年,1994年,1994年,1994年,1993年,1993年,1993年
,,,,/既済事由 コード,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290
表章項目 コード,表章項目,罪名_年次 コード,罪名_年次,/既済事由,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】
120,人員,464,刑法犯_強制性交等,,455,948,32.4,502,853,37.0,475,837,36.2,492,760,39.3,354,730,32.7,370,656,36.1,453,832,35.3,448,755,37.2,531,690,43.5,554,547,50.3,561,609,47.9,568,689,45.2,662,716,48.0,789,723,52.2,885,738,54.5,953,603,61.2,"1,027",533,65.8,"1,097",570,65.8,956,496,65.8,"1,112",513,68.4,858,397,68.4,966,370,72.3,880,409,68.3,808,361,69.1,766,372,67.3,732,366,66.7,767,385,66.6
120,人員,490,刑法犯_賭博・富くじ,,320,217,59.6,405,184,68.8,323,161,66.7,264,332,44.3,358,331,52.0,402,328,55.1,483,550,46.8,276,350,44.1,296,367,44.6,487,444,52.3,391,447,46.7,708,617,53.4,775,510,60.3,731,476,60.6,705,583,54.7,533,615,46.4,767,593,56.4,916,621,59.6,"1,198",622,65.8,941,687,57.8,"1,185",787,60.1,"1,609","1,282",55.7,"1,793",965,65.0,"1,626","1,264",56.3,"2,379","1,336",64.0,"1,929","1,384",58.2,"2,358","2,104",52.8
120,人員,540,刑法犯_殺人,,264,858,23.5,278,817,25.4,321,635,33.6,307,734,29.5,325,809,28.7,297,667,30.8,357,711,33.4,352,664,34.6,341,769,30.7,367,787,31.8,420,712,37.1,424,683,38.3,533,564,48.6,637,666,48.9,636,567,52.9,734,560,56.7,802,637,55.7,932,483,65.9,872,537,61.9,855,541,61.2,801,491,62.0,788,529,59.8,769,479,61.6,752,467,61.7,781,"1,001",43.8,713,"1,102",39.3,699,"1,275",35.4
120,人員,570,刑法犯_傷害,,"9,252","21,385",30.2,"10,372","22,651",31.4,"11,244","23,088",32.8,"11,551","24,218",32.3,"11,560","24,016",32.5,"12,513","24,133",34.1,"12,793","22,743",36.0,"13,468","22,736",37.2,"13,564","20,989",39.3,"14,328","19,028",43.0,"13,776","16,897",44.9,"14,559","16,580",46.8,"14,996","16,891",47.0,"16,361","16,437",49.9,"18,459","16,708",52.5,"20,489","15,974",56.2,"20,818","16,414",55.9,"21,307","12,581",62.9,"21,013","10,868",65.9,"19,804","9,277",68.1,"14,281","5,866",70.9,"14,352","6,102",70.2,"14,329","6,248",69.6,"13,879","6,239",69.0,"13,900","6,016",69.8,"14,067","6,721",67.7,"14,197","6,622",68.2
120,人員,630,刑法犯_危険運転致死傷,,339,97,77.8,359,97,78.7,316,102,75.6,342,93,78.6,408,86,82.6,416,82,83.5,433,66,86.8,360,28,92.8,204,20,91.1,213,33,86.6,212,28,88.3,230,28,89.1,256,11,95.9,233,27,89.6,364,16,95.8,378,10,97.4,302,11,96.5,311,7,97.8,0,0,0.0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
120,人員,660,刑法犯_過失傷害,,"39,067","249,226",13.6,"40,082","259,297",13.4,"45,403","321,898",12.4,"48,215","367,021",11.6,"50,108","403,053",11.1,"51,872","426,101",10.9,"54,639","462,390",10.6,"56,042","493,327",10.2,"57,253","546,247",9.5,"59,346","572,049",9.4,"61,023","597,951",9.3,"64,972","620,983",9.5,"68,231","632,179",9.7,"70,603","646,297",9.8,"77,713","705,247",9.9,"86,470","747,396",10.4,"92,777","770,088",10.8,"102,613","738,608",12.2,"99,881","747,103",11.8,"93,760","718,750",11.5,"86,972","637,657",12.0,"83,663","560,436",13.0,"88,847","519,687",14.6,"92,450","546,208",14.5,"95,481","537,614",15.1,"97,010","517,726",15.8,"99,687","507,673",16.4
120,人員,950,刑法犯_逮捕・監禁,,190,307,38.2,126,305,29.2,135,279,32.6,104,321,24.5,123,324,27.5,130,323,28.7,136,403,25.2,149,287,34.2,161,281,36.4,148,341,30.3,139,357,28.0,201,333,37.6,217,374,36.7,254,292,46.5,260,288,47.4,301,324,48.2,413,318,56.5,393,342,53.5,447,307,59.3,359,314,53.3,341,204,62.6,225,349,39.2,223,355,38.6,219,243,47.4,233,187,55.5,267,230,53.7,201,212,48.7
120,人員,960,刑法犯_脅迫,,824,"1,375",37.5,806,"1,363",37.2,772,"1,252",38.1,755,"1,337",36.1,854,"1,326",39.2,881,"1,374",39.1,964,"1,461",39.8,"1,048","1,341",43.9,868,"1,106",44.0,887,"1,011",46.7,606,811,42.8,641,762,45.7,611,701,46.6,764,729,51.2,752,775,49.2,840,694,54.8,721,769,48.4,851,490,63.5,903,536,62.8,913,448,67.1,499,236,67.9,476,245,66.0,481,259,65.0,528,307,63.2,431,346,55.5,518,288,64.3,548,275,66.6
120,人員,970,刑法犯_略取・誘拐・人身売買,,133,304,30.4,91,241,27.4,62,224,21.7,68,221,23.5,45,160,22.0,50,131,27.6,53,133,28.5,73,118,38.2,55,111,33.1,74,101,42.3,47,71,39.8,57,92,38.3,81,85,48.8,55,83,39.9,96,96,50.0,119,85,58.3,127,71,64.1,107,58,64.8,128,79,61.8,142,81,63.7,85,41,67.5,91,36,71.7,108,39,73.5,94,70,57.3,93,46,66.9,69,60,53.5,55,35,61.1
120,人員,990,刑法犯_名誉毀損,,286,727,28.2,293,619,32.1,277,632,30.5,236,645,26.8,220,577,27.6,238,565,29.6,236,595,28.4,184,561,24.7,203,397,33.8,148,400,27.0,163,415,28.2,131,468,21.9,141,485,22.5,118,503,19.0,155,486,24.2,148,556,21.0,144,532,21.3,122,622,16.4,159,541,22.7,141,492,22.3,54,274,16.5,38,343,10.0,42,225,15.7,56,334,14.4,63,281,18.3,35,361,8.8,29,329,8.1
