第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減ポイント,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,計,3242,2631,611,23.2,1693,1589,104,6.5,464,421,43,10.2,52.2,60.4,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,富山県,325,356,-31,-8.7,279,294,-15,-5.1,38,26,12,46.2,85.8,82.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,石川県,299,205,94,45.9,192,187,5,2.7,66,58,8,13.8,64.2,91.2,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,福井県,139,146,-7,-4.8,82,155,-73,-47.1,22,29,-7,-24.1,59,106.2,-47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,岐阜県,525,410,115,28,375,249,126,50.6,78,57,21,36.8,71.4,60.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,愛知県,1496,1103,393,35.6,595,482,113,23.4,211,206,5,2.4,39.8,43.7,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,三重県,458,411,47,11.4,170,222,-52,-23.4,49,45,4,8.9,37.1,54,-16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,計,2327,2585,-258,-10,1292,1641,-349,-21.3,557,636,-79,-12.4,55.5,63.5,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,滋賀県,216,229,-13,-5.7,114,226,-112,-49.6,50,60,-10,-16.7,52.8,98.7,-45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,京都府,228,268,-40,-14.9,227,185,42,22.7,66,59,7,11.9,99.6,69,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,大阪府,899,937,-38,-4.1,411,573,-162,-28.3,238,284,-46,-16.2,45.7,61.2,-15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,兵庫県,714,887,-173,-19.5,351,477,-126,-26.4,131,165,-34,-20.6,49.2,53.8,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,奈良県,147,148,-1,-0.7,68,109,-41,-37.6,34,34,0,0,46.3,73.6,-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,和歌山県,123,116,7,6,121,71,50,70.4,38,34,4,11.8,98.4,61.2,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,計,930,892,38,4.3,810,622,188,30.2,232,226,6,2.7,87.1,69.7,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,鳥取県,78,79,-1,-1.3,53,76,-23,-30.3,18,27,-9,-33.3,67.9,96.2,-28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,島根県,138,100,38,38,128,94,34,36.2,15,17,-2,-11.8,92.8,94,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,岡山県,293,280,13,4.6,195,174,21,12.1,50,44,6,13.6,66.6,62.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,広島県,282,255,27,10.6,258,128,130,101.6,78,66,12,18.2,91.5,50.2,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,山口県,139,178,-39,-21.9,176,150,26,17.3,71,72,-1,-1.4,126.6,84.3,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,計,685,680,5,0.7,564,570,-6,-1.1,114,103,11,10.7,82.3,83.8,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,徳島県,123,103,20,19.4,114,59,55,93.2,17,14,3,21.4,92.7,57.3,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,香川県,150,114,36,31.6,126,142,-16,-11.3,28,29,-1,-3.4,84,124.6,-40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,愛媛県,210,273,-63,-23.1,173,215,-42,-19.5,40,43,-3,-7,82.4,78.8,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,高知県,202,190,12,6.3,151,154,-3,-1.9,29,17,12,70.6,74.8,81.1,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,計,1918,2279,-361,-15.8,1364,1734,-370,-21.3,305,418,-113,-27,71.1,76.1,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,福岡県,967,1174,-207,-17.6,779,900,-121,-13.4,130,161,-31,-19.3,80.6,76.7,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,佐賀県,135,128,7,5.5,90,98,-8,-8.2,12,14,-2,-14.3,66.7,76.6,-9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,長崎県,82,108,-26,-24.1,44,93,-49,-52.7,13,19,-6,-31.6,53.7,86.1,-32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,熊本県,109,183,-74,-40.4,72,139,-67,-48.2,33,60,-27,-45,66.1,76,-9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
