第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減ポイント,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
20歳以上","検挙人員
20歳以上","検挙人員
20歳以上","検挙人員
20歳以上","検挙人員
少年","検挙人員
少年","検挙人員
少年","検挙人員
少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種（手口）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要犯罪,計,7422,7372,50,0.7,6581,6677,-96,-1.4,841,695,146,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要犯罪,殺人,785,848,-63,-7.4,736,813,-77,-9.5,49,35,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要犯罪,強盗,1322,1460,-138,-9.5,1087,1246,-159,-12.8,235,214,21,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要犯罪,放火,532,534,-2,-0.4,494,507,-13,-2.6,38,27,11,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要犯罪,強制性交等,1339,1251,88,7,1166,1117,49,4.4,173,134,39,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要犯罪,略取誘拐・人身売買,377,376,1,0.3,344,357,-13,-3.6,33,19,14,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要犯罪,強制わいせつ,3067,2903,164,5.6,2754,2637,117,4.4,313,266,47,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要窃盗犯,計,6082,6294,-212,-3.4,5607,5820,-213,-3.7,475,474,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要窃盗犯,侵入盗,4896,5167,-271,-5.2,4581,4827,-246,-5.1,315,340,-25,-7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要窃盗犯,侵入盗　うち）住宅対象,1747,1894,-147,-7.8,1607,1758,-151,-8.6,140,136,4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要窃盗犯,侵入盗　うち）その他,3149,3273,-124,-3.8,2974,3069,-95,-3.1,175,204,-29,-14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要窃盗犯,自動車盗,625,634,-9,-1.4,564,567,-3,-0.5,61,67,-6,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要窃盗犯,ひったくり,216,206,10,4.9,152,156,-4,-2.6,64,50,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要窃盗犯,すり,345,287,58,20.2,310,270,40,14.8,35,17,18,105.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　侵入盗の「住宅対象」とは、空き巣、忍込み及び居空きをいう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（重要犯罪総数）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,都道府県,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減ポイント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数,,9535,8821,714,8.1,8353,8240,113,1.4,7422,7372,50,0.7,87.6,93.4,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,計,347,292,55,18.8,310,303,7,2.3,267,264,3,1.1,89.3,103.8,-14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,札幌方面,219,206,13,6.3,198,207,-9,-4.3,170,180,-10,-5.6,90.4,100.5,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,函館方面,28,14,14,100,24,15,9,60,24,15,9,60,85.7,107.1,-21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,旭川方面,39,27,12,44.4,31,31,0,0,26,27,-1,-3.7,79.5,114.8,-35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,釧路方面,42,34,8,23.5,42,38,4,10.5,34,31,3,9.7,100,111.8,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,北見方面,19,11,8,72.7,15,12,3,25,13,11,2,18.2,78.9,109.1,-30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,計,529,486,43,8.8,439,426,13,3.1,348,330,18,5.5,83,87.7,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,青森県,67,72,-5,-6.9,54,61,-7,-11.5,41,47,-6,-12.8,80.6,84.7,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,岩手県,61,58,3,5.2,52,48,4,8.3,39,37,2,5.4,85.2,82.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,宮城県,255,239,16,6.7,218,207,11,5.3,174,149,25,16.8,85.5,86.6,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,秋田県,26,31,-5,-16.1,24,29,-5,-17.2,22,28,-6,-21.4,92.3,93.5,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,山形県,32,36,-4,-11.1,21,35,-14,-40,19,26,-7,-26.9,65.6,97.2,-31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東北,福島県,88,50,38,76,70,46,24,52.2,53,43,10,23.3,79.5,92,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,,1323,1223,100,8.2,1270,1227,43,3.5,1211,1129,82,7.3,96,100.3,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,計,2676,2482,194,7.8,2378,2328,50,2.1,1980,2007,-27,-1.3,88.9,93.8,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,茨城県,212,199,13,6.5,172,168,4,2.4,162,130,32,24.6,81.1,84.4,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,栃木県,105,102,3,2.9,94,96,-2,-2.1,79,90,-11,-12.2,89.5,94.1,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,群馬県,103,96,7,7.3,104,101,3,3,97,104,-7,-6.7,101,105.2,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,埼玉県,667,657,10,1.5,651,645,6,0.9,572,567,5,0.9,97.6,98.2,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,千葉県,448,428,20,4.7,370,393,-23,-5.9,280,312,-32,-10.3,82.6,91.8,-9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,神奈川県,668,554,114,20.6,563,518,45,8.7,435,411,24,5.8,84.3,93.5,-9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,新潟県,89,91,-2,-2.2,96,88,8,9.1,75,83,-8,-9.6,107.9,96.7,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,山梨県,52,33,19,57.6,42,28,14,50,33,34,-1,-2.9,80.8,84.8,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,長野県,80,80,0,0,70,66,4,6.1,63,71,-8,-11.3,87.5,82.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,静岡県,252,242,10,4.1,216,225,-9,-4,184,205,-21,-10.2,85.7,93,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,計,791,881,-90,-10.2,736,820,-84,-10.2,692,776,-84,-10.8,93,93.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,富山県,33,32,1,3.1,26,33,-7,-21.2,26,47,-21,-44.7,78.8,103.1,-24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,石川県,45,44,1,2.3,39,43,-4,-9.3,33,49,-16,-32.7,86.7,97.7,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,福井県,28,44,-16,-36.4,29,45,-16,-35.6,28,37,-9,-24.3,103.6,102.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,岐阜県,66,99,-33,-33.3,62,89,-27,-30.3,53,72,-19,-26.4,93.9,89.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,愛知県,526,565,-39,-6.9,488,523,-35,-6.7,474,499,-25,-5,92.8,92.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部,三重県,93,97,-4,-4.1,92,87,5,5.7,78,72,6,8.3,98.9,89.7,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,計,2298,2001,297,14.8,1911,1777,134,7.5,1771,1620,151,9.3,83.2,88.8,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,滋賀県,125,102,23,22.5,104,80,24,30,103,79,24,30.4,83.2,78.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,京都府,185,157,28,17.8,170,161,9,5.6,161,167,-6,-3.6,91.9,102.5,-10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,大阪府,1312,1087,225,20.7,1028,910,118,13,949,847,102,12,78.4,83.7,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,兵庫県,561,551,10,1.8,495,522,-27,-5.2,472,434,38,8.8,88.2,94.7,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,奈良県,75,63,12,19,74,65,9,13.8,51,60,-9,-15,98.7,103.2,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近畿,和歌山県,40,41,-1,-2.4,40,39,1,2.6,35,33,2,6.1,100,95.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,計,508,430,78,18.1,451,427,24,5.6,374,392,-18,-4.6,88.8,99.3,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,鳥取県,47,38,9,23.7,46,35,11,31.4,32,43,-11,-25.6,97.9,92.1,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,島根県,46,28,18,64.3,40,32,8,25,29,27,2,7.4,87,114.3,-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,岡山県,145,104,41,39.4,142,105,37,35.2,116,101,15,14.9,97.9,101,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,広島県,216,206,10,4.9,171,201,-30,-14.9,144,169,-25,-14.8,79.2,97.6,-18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国,山口県,54,54,0,0,52,54,-2,-3.7,53,52,1,1.9,96.3,100,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,計,184,181,3,1.7,161,187,-26,-13.9,144,169,-25,-14.8,87.5,103.3,-15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,徳島県,18,25,-7,-28,15,23,-8,-34.8,16,23,-7,-30.4,83.3,92,-8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,香川県,52,68,-16,-23.5,52,68,-16,-23.5,49,61,-12,-19.7,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,愛媛県,72,60,12,20,55,63,-8,-12.7,47,51,-4,-7.8,76.4,105,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四国,高知県,42,28,14,50,39,33,6,18.2,32,34,-2,-5.9,92.9,117.9,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,計,879,845,34,4,697,745,-48,-6.4,635,685,-50,-7.3,79.3,88.2,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,福岡県,400,389,11,2.8,303,332,-29,-8.7,277,286,-9,-3.1,75.8,85.3,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,佐賀県,39,38,1,2.6,33,31,2,6.5,32,31,1,3.2,84.6,81.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,長崎県,55,48,7,14.6,33,44,-11,-25,33,46,-13,-28.3,60,91.7,-31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,熊本県,91,108,-17,-15.7,83,103,-20,-19.4,80,94,-14,-14.9,91.2,95.4,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,大分県,54,56,-2,-3.6,50,52,-2,-3.8,34,55,-21,-38.2,92.6,92.9,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,宮崎県,55,45,10,22.2,48,36,12,33.3,41,42,-1,-2.4,87.3,80,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,鹿児島県,92,77,15,19.5,72,70,2,2.9,62,58,4,6.9,78.3,90.9,-12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九州,沖縄県,93,84,9,10.7,75,77,-2,-2.6,76,73,3,4.1,80.6,91.7,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
